tbl_sentiment_analysis_title,tbl_sentiment_analysis_description,tbl_sentiment_analysis_category,tbl_sentiment_analysis_url,tbl_sentiment_analysis_image,tbl_sentiment_analysis_provider,tbl_sentiment_analysis_datePublished,tbl_sentiment_analysis_sentiment
Australia news LIVE: Labor members slam CFMEU; Trump names JD Vance as running mate,Questions were also raised about whether disbanding the union would push members into the Australian Workers’ Union or whether a new construction union would spring from any ashes. Both could lead to a power struggle for influence and control of internal ...,Politics,https://www.smh.com.au/national/australia-news-live-labor-members-slam-cfmeu-trump-names-jd-vance-as-running-mate-20240716-p5jtyb.html,https://www.bing.com/th?id=OVFT.sLlGhSa_fIjrLxiErHqF-C&pid=News,Sydney Morning Herald,15 July 2024,negative
Bastille Day celebrated in France amid ongoing political crisis,"France celebrated military victories of the past at its annual Bastille Day parade Sunday, while its present political future appeared far from ... hosting rising superpower India's Prime Minister Narendra Modi as they watched France's military might ...",World,https://tribune.com.pk/story/2479699/bastille-day-celebrated-in-france-amid-ongoing-political-crisis,https://www.bing.com/th?id=OVFT.h2NKYgiZkhXRLKTe5P02Zy&pid=News,The Express Tribune,14 July 2024,positive
Bernie Sanders backs Biden in New York Times essay: ‘He must win’,"WASHINGTON – Sen. Bernie Sanders announced Saturday that he will back President Joe Biden in the 2024 presidential campaign, bucking the growing number of leaders in the Democratic Party who say the president should step aside.",Politics,https://www.msn.com/en-us/news/other/bernie-sanders-backs-biden-in-new-york-times-essay-he-must-win/ar-BB1pVsvt,https://www.bing.com/th?id=OVFT.4jV_NVuGqhBbYkk6LELOai&pid=News,USA TODAY on MSN.com,13 July 2024,positive
Biden administration to unveil new actions aimed at lowering housing costs,"The announcement comes against the backdrop of the Republican National Convention, which nominated Donald Trump on Monday night.",Politics,https://www.msn.com/en-us/news/politics/biden-administration-to-unveil-new-actions-aimed-at-lowering-housing-costs/ar-BB1q2HPz,https://www.bing.com/th?id=OVFT.if3jC3WkHCbHH_tnQTLiqi&pid=News,NBC News on MSN.com,16 July 2024,neutral
"BJP represents ""present and future"" of country which will make India developed by 2047: BJP chief Nadda","Union Minister and BJP's national president JP Nadda on Sunday said the Bharatiya Janata Party is the only pan-India party and represents the ""present and future"" of the country which will make India developed by 2047.",India,https://www.msn.com/en-xl/news/other/bjp-represents-present-and-future-of-country-which-will-make-india-developed-by-2047-bjp-chief-nadda/ar-BB1pY1ak,https://www.bing.com/th?id=OVFT.IEyLgAvPPhd1jBioWa6FRC&pid=News,Asian News International on MSN.com,14 July 2024,neutral
Book Excerpt: 'The State Practices And Politics Around the Sacred Cow',"""In a nutshell, cow vigilantism — an activity that till date survived on the margins of law — was now appropriated by the state. Haryana, though is hardly an exception."" In this book, Tanweer Fazal talks about the politics and law around cows.",LifeStyle,https://www.thequint.com/news/politics/book-excerpt-tanweer-fazal-state-practices-and-politics-around-the-sacred-cow,https://www.bing.com/th?id=OVFT.McRrSyymBLphQaZMHsXnlS&pid=News,The Quint,14 July 2024,neutral
Breaking Is Coming to the 2024 Olympics: Learn About the New Event & Meet the Dancers,"Talk about breaking news: The sport of breaking, also known as breakdancing, is making its Summer Olympics debut at this year’s Paris Games. Hoping to lure younger audiences, the International Olympic Committee (IOC) added breaking to the 2024 Summer ...",Sports,https://www.msn.com/en-us/sports/other/breaking-is-coming-to-the-2024-olympics-learn-about-the-new-event/ar-BB1pVCny,https://www.bing.com/th?id=OVFT.W_r0oXlMOTDSSoUFjHgDwy&pid=News,TV Insider on MSN.com,13 July 2024,positive
Breaking News Live Updates: PM Narendra Modi arrives at Anant Ambani-Radhika Merchant's Subha Ashirwad ceremony,PM Narendra Modi has arrived at Anant Ambani-Radhika Merchant's 'Subha Ashirwad' ceremony in Mumbai. Delhi gets relief from humid weather as morning showers bring down temperature,World,https://timesofindia.indiatimes.com/india/breaking-news-live-july-13-national-international/liveblog/111702496.cms,https://www.bing.com/th?id=OVFT.2Ukdv91YFscKLL6NMtmEJi&pid=News,Indiatimes,13 July 2024,positive
"Breaking News Live: China, Russia start joint naval drills, days after Nato allies called Beijing a Ukraine war enabler","China, Russia start joint naval drills, days after Nato allies called Beijing a Ukraine war enabler",World,https://timesofindia.indiatimes.com/india/breaking-news-live-july-15-national-international/liveblog/111741042.cms,https://www.bing.com/th?id=OVFT.j1sQ4Q1ohU0LiTHtYKtRiy&pid=News,Indiatimes,15 July 2024,negative
Bypoll win: People have rejected politics of horse-trading: Himachal CM Sukhu,"A day after winning two of three assembly seats where byelections were held in Himachal Pradesh (HP), chief minister Sukhvinder Singh Sukhu on Sunday said that the people have rejected the politics of horse-trading and a conspiracy to topple the elected ...",Politics,https://www.hindustantimes.com/cities/chandigarh-news/bypoll-win-people-have-rejected-politics-of-horse-trading-himachal-cm-sukhu-101720978699658.html,https://www.bing.com/th?id=OVFT.5qTSOMue46Mp-SROPQsXWC&pid=News,Hindustan Times,14 July 2024,neutral
"Caitlin Clark, Aliyah Boston lead Fever to fourth-quarter comeback over Lynx in latest impressive win","beating the first-place New York Liberty, fourth-place Lynx and sixth-place Phoenix Mercury during this most recent stretch. Looking further back, they are 8-4 in the last month, which is tied for the third-best record in that time frame. Though still ...",Sports,https://www.cbssports.com/wnba/news/caitlin-clark-aliyah-boston-lead-fever-to-fourth-quarter-comeback-over-lynx-in-latest-impressive-win/,https://www.bing.com/th?id=OVFT.lTM1tKxypyNeO2GShhk0JC&pid=News,CBSSports.com,14 July 2024,positive
Can Nirmala Sitharaman blend good economics with shrewd politics?,"As NDA 3.0 prepares for the upcoming budget, Finance Minister Nirmala Sitharaman faces the task of balancing economic growth with political demands. Strong economic indicators allow for potential tax relief for the middle class and increased welfare spending.",Business,https://economictimes.indiatimes.com/markets/stocks/news/can-nirmala-sitharaman-blend-good-economics-with-shrewd-politics/articleshow/111748944.cms,https://www.bing.com/th?id=OVFT.ULQAQMzfDWpB75BhgawRby&pid=News,Indiatimes,15 July 2024,neutral
'Cheap politics': Congress hits back at BJP over its 'Rahul encourages violence against PM' remark,"The Congress on Monday slammed the BJP for accusing Rahul Gandhi of promoting violence against Prime Minister Narendra Modi, stating that "".",Politics,https://www.msn.com/en-in/news/India/cheap-politics-congress-hits-back-at-bjp-over-its-rahul-encourages-violence-against-pm-remark/ar-BB1pZxKF,https://www.bing.com/th?id=OVFT.nX9uTPdjT2u6Wmpc01KgmS&pid=News,Indiatimes on MSN.com,15 July 2024,negative
Check Out Music Video Of The Latest Hindi Song Heer Raanjha Sung By Laqshay Kapoor,Enjoy the latest Hindi song Heer Raanjha sung by Laqshay Kapoor. Lyrics for this captivating track are penned by Sanjeev Chaturvedi. Don't miss the opportunity to watch the latest Hindi video song Heer Raanjha by Laqshay Kapoor and immerse yourself in its mesmerizing melodies.,LifeStyle,https://timesofindia.indiatimes.com/videos/entertainment/music/hindi/check-out-music-video-of-the-latest-hindi-song-heer-raanjha-sung-by-laqshay-kapoor/videoshow/111749212.cms,https://www.bing.com/th?id=OVFT.ndVMBFVgO2xrwGR8We2VRC&pid=News,Indiatimes,15 July 2024,positive
"Common Says He 'Loved' Collaborating with Girlfriend Jennifer Hudson on New Song: 'She Brought It, Man' (Exclusive)","In this week's issue of PEOPLE, Common says he's ""in a great partnership,"" and could see girlfriend Jennifer Hudson as ""the one.""",Entertainment,https://people.com/common-loved-collaborating-girlfriend-jennifer-hudson-on-new-song-exclusive-8677446,https://www.bing.com/th?id=OVFT.8s2phpp8_uxqfe-vtyPJMC&pid=News,People,13 July 2024,neutral
Cricket Australia boss responds to David Warner retirement backflip after legend sensationally offered to return to the international team,"David Warner had already bowed out of 50-over cricket when Australia won last year's ODI World Cup, and his Test retirement became official in January.",Sports,https://www.msn.com/en-us/sports/other/cricket-australia-boss-responds-to-david-warner-retirement-backflip-after-legend-sensationally-offered-to-return-to-the-international-team/ar-BB1q05Pk,https://www.bing.com/th?id=OVFT.tN01wPD0_9brkflxvL20uC&pid=News,Daily Mail on MSN.com,15 July 2024,neutral
Cricket Buzz: Gautam Gambhir’s Annual Salary As India’s Head Coach Is 52% Less Than What He Got To Mentor Kolkata Knight Riders?,Gautam Gambhir has been officially announced as the Indian cricket team's head coach. Here's all you need to know about his rumored salary!,Sports,https://www.koimoi.com/cricket/cricket-buzz-gautam-gambhirs-annual-salary-as-indias-head-coach-is-52-less-than-what-he-got-to-mentor-kolkata-knight-riders/,https://www.bing.com/th?id=OVFT.T8nsCdkjFN7xzm4D7g8mci&pid=News,Koimoi,15 July 2024,neutral
"Cricket, IPL 2025: Ricky Ponting steps down as Delhi Capitals coach","Former Australia batter and captain Ricky Ponting has stepped down as the head coach of the Indian Premier League team Delhi Capitals, the franchise announced on Saturday. The 49-year-old five-time World Cup winner was at the helm of the team for seven seasons, starting from 2018.",Sports,https://scroll.in/field/1070625/cricket-ipl-2025-ricky-ponting-steps-down-as-delhi-capitals-coach,https://www.bing.com/th?id=OVFT.ZxR5Ngqn83Ug5xOMigLBPC&pid=News,Scroll,14 July 2024,neutral
"CS vs GM Dream11 Prediction, Fantasy Cricket Tips, Playing XI, Pitch Report, Player Stats & Injury Updates For Match 19 of Lanka Premier League 2024","Colombo Strikers and Galle Marvels have a balanced head-to-head record, with each team securing 5 wins against each other.",Sports,https://www.probatsman.com/fantasy-cricket-tips/cs-vs-gm-dream11-prediction-lanka-premier-league-2024-match-19,https://www.bing.com/th?id=OVFT.oJ1a_Pl6k5uVsP7LT6RF-i&pid=News,probatsman,15 July 2024,neutral
"CS vs GM: Check our Fantasy Cricket Prediction, Tips, Playing Team Picks for Lanka Premier League 2024, Match 19 on July 15th",It took them just 9.5 overs to complete the formalities as Rahmanullah Gurbaz (57*) and Waseem Muhammad (35*) left their footprints with explosive knocks. Their character will be tested when they face table toppers Galle Marvels against whom they got beaten by 7 runs earlier in the competition.,Sports,https://in.ign.com/dream-11-fantasy-gaming/210657/news/cs-vs-gm-check-our-fantasy-cricket-prediction-tips-playing-team-picks-for-lanka-premier-league-2024,https://www.bing.com/th?id=OVFT.PlkZYePaUEYQamWVq2wrlS&pid=News,IGN,15 July 2024,neutral
Decoding India’s foreign policy under Narendra Modi,"Modi’s policy on the Ukraine-Russia war — neither criticizing nor condoning it — is perceived as unconscionable and unethical in political and human rights circles in Europe, despite his reassurances to the West that India remains firmly committed to maintaining strong ties with them.",World,https://www.ucanews.com/news/decoding-indias-foreign-policy-under-narendra-modi/105709,https://www.bing.com/th?id=OVFT.nd2v5rF2bTJl7XPqHHZkYy&pid=News,UCA News,15 July 2024,negative
Delta Air Lines adopts new rules for flight attendant uniforms,ATLANTA (AP) — Delta Air Lines is changing its employee uniform policy following a turbulent ride through a social media storm started by a passenger’s outrage over two flight attendants photographed wearing Palestinian pins.,LifeStyle,https://www.msn.com/en-us/news/us/delta-air-lines-adopts-new-rules-for-flight-attendant-uniforms-after-palestinian-pin-flap/ar-BB1pVmuE,https://www.bing.com/th?id=OVFT.wWk1w_GhxCs5c0s0BA6zsC&pid=News,The Associated Press on MSN.com,14 July 2024,negative
Delta Air Lines adopts new rules for flight attendant uniforms after Palestinian pin flap,Delta Air Lines is changing its employee uniform policy following a turbulent ride through a social media storm started by a passenger's outrage over two flight attendants photographed wearing Palestinian pins.,LifeStyle,https://www.yahoo.com/news/delta-air-lines-adopts-rules-162231649.html,https://www.bing.com/th?id=OVFT.vMOvouUSNEOcCkfY-83O6y&pid=News,Yahoo,13 July 2024,negative
"Divided land, disputed origins: India's Brokpa people","High in the icy Indian Himalayas, a long-isolated people recall origin myths of millennia-old migrations from afar -- an identity in disputed lands twisted today by politics.Some right-wing Hindus use the term to claim ""Aryan"" ancestors originated in India,",World,https://www.msn.com/en-us/news/world/divided-land-disputed-origins-indias-brokpa-people/ar-BB1pZihY,https://www.bing.com/th?id=OVFT.CIzkZ64Znt-hAY7czq0YbS&pid=News,AFP on MSN.com,15 July 2024,negative
Donald Trump Gets Good News During RNC,"Former President Donald Trump received good swing state polling news on Monday, which is also the first day of the Republican National Convention (RNC) in Milwaukee.",Politics,https://www.msn.com/en-us/news/politics/donald-trump-gets-good-news-during-rnc/ar-BB1q2qri,https://www.bing.com/th?id=OVFT.001mXb_VPQVavxgDkG0MIS&pid=News,Newsweek on MSN.com,15 July 2024,positive
"Donald Trump shooting: PM Modi condemns attack, says ‘violence has no place in politics’","Trump survived an attempt on his life Saturday when a shooter, identified as 20-year-old Thomas Matthew Crooks, fired multiple shots at him at a campaign rally in Pennsylvania, injuring his right ear.",Politics,https://indianexpress.com/article/india/donald-trump-shooting-pm-modi-rahul-gandhi-9452186/,https://www.bing.com/th?id=OVFT.cZVa79j1k9Po6Ho2rs4NSC&pid=News,The Indian Express,14 July 2024,negative
Donald Trump's Dismissed Case May Be 'Good News' for Jack Smith,Trump-appointed Judge Aileen Cannon dismissed the documents case against the former president on Monday in Florida.,Politics,https://www.msn.com/en-us/news/politics/donald-trumps-dismissed-case-may-be-good-news-for-jack-smith/ar-BB1q21g8,https://www.bing.com/th?id=OVFT.eZX8X_57oWQjDlvKu_P4ni&pid=News,Newsweek on MSN.com,15 July 2024,neutral
"Dow Jones scales new peak, S&P 500, Nasdaq gain after Trump win odds rise","The S&P 500 also hit a new intraday high on Monday ... in a note that a second term for Donald Trump could help smallcap stocks outperform. ""The good news is that former President Trump was not injured more than the ear, that he was not killed,"" said ...",Business,https://www.cnbctv18.com/market/us-markets-wall-street-dow-jones-record-high-snp-500-nasdaq-donald-trump-us-elections-2024-fed-19443730.htm,https://www.bing.com/th?id=OVFT.BRwu8RD7BocCjI0Py9CRhy&pid=News,cnbctv18,15 July 2024,positive
England 1 Spain 2 LIVE RESULT: Gareth Southgate future latest after heartbreaking Euro 2024 final loss – updates,"ENGLAND hearts were broken by Mikel Oryazabal as Spain struck late to win Euro 2024. The Three Lions had belief after Cole Palmer stroked home a brilliant equaliser after Nico Williams scored moments after the break. But it was Spain, who had arguably been ...",Sports,https://www.thesun.co.uk/sport/29192373/england-spain-live-score-euro-2024-final-gareth-southgate-updates/,https://www.bing.com/th?id=OVFT.WPbhqjR2-OYkYOX-fDthgS&pid=News,The Sun,15 July 2024,mixed
England vs Spain live updates: Euro 2024 latest score and goal alerts,"Oyarzabal prods home and with four minutes left, SPAIN REGAIN THE LEAD! Advertisement 86' Spain 1-1 England Another injury blow for Spain, as Le Normand signals to the bench that he cannot continue. On comes last season’s Real Madrid captain Nacho, who ...",Sports,https://www.nytimes.com/athletic/live-blogs/england-spain-live-updates-euro-2024-final-score-result/T1jQng4KWoo4/,https://www.bing.com/th?id=OVFT.zp_5fk4gcYBraMCNhN7xBy&pid=News,The New York Times,14 July 2024,negative
"England vs Spain LIVE: Team news hint, Three Lions multi-million bonus, Bellingham hammered",England take on Spain in the Euro 2024 final at the Olympiastadion in Berlin as Gareth Southgate looks to lead the Three Lions to their first major international trophy since 1966,Sports,https://www.mirror.co.uk/sport/football/news/euro-2024-final-live-england-33226866,https://www.bing.com/th?id=OVFT.GtL093Zs6wy_XJxNmc__Gy&pid=News,The Mirror,13 July 2024,neutral
England's kit set for brand new change if they beat Spain and win Euro 2024 with champion to follow Italy and Portugal in showing off eye-catching feature in matches,Gareth Southgate's side are bidding to win their first major men's trophy since 1966 in Berlin after beating the Netherlands in the semi-finals on Wednesday.,Sports,https://www.msn.com/en-gb/sport/football/englands-kit-set-for-brand-new-change-if-they-beat-spain-and-win-euro-2024-with-champion-to-follow-italy-and-portugal-in-showing-off-eye-catching-feature-in-matches/ar-BB1pVGKO,https://www.bing.com/th?id=OVFT.nrqczBFLT4V2EoomwFsFoS&pid=News,Daily Mail on MSN.com,13 July 2024,neutral
Even Fox News and CNN agree on Biden speech after Trump assassination attempt,"President Joe Biden slipped (""battle box"") in his speech about turning down political rhetoric after Trump shooting, but even Fox News liked it.",Politics,https://www.azcentral.com/story/entertainment/media/2024/07/14/biden-speech-cnn-fox-news/74402346007/,https://www.bing.com/th?id=OVFT.17eQAZ_OxHeO7qqk698Tai&pid=News,AZ Central,15 July 2024,neutral
Exploring New Mexico: A travel guide to the Land of Enchantment,"New Mexico, often called the Land of Enchantment ... Breana Scheckwitz is an SEO Editor at Fox News Digital. Fun stories about food, relationships, the great outdoors and more.",LifeStyle,https://www.msn.com/en-us/travel/tripideas/exploring-new-mexico-a-travel-guide-to-the-land-of-enchantment/ar-BB1pXOJr,https://www.bing.com/th?id=OVFT.YPB7IttIpT19rOEgjOHGXS&pid=News,Fox News on MSN.com,14 July 2024,positive
Five players who have found new clubs after Everton exits as Amadou Onana prepares to depart,The sale of Amadou Onana would mark the latest exit in a summer of transition at Everton. It has long been clear this summer would present an opportunity for director of football Kevin Thelwell to reshape the squad and the departure of the 22-year-old would be another symbol of that.,Sports,https://www.msn.com/en-gb/sport/football/five-players-who-have-found-new-clubs-after-everton-exits-as-amadou-onana-prepares-to-depart/ar-BB1pWMpp,https://www.bing.com/th?id=OVFT.PADWgVYDQ5MVlED7zY5J2C&pid=News,Liverpool Echo on MSN.com,14 July 2024,neutral
Former Oilers Defender Announces New Addition,"Former Oilers defender Ethan Bear has some news of his own. He and his wife have welcomed their second child, Bella Faye Josephine Bear. They made the announcement on Sunday July 14th.",Sports,https://www.msn.com/en-us/sports/nhl/former-oilers-defender-announces-new-addition/ar-BB1q2kay,https://www.bing.com/th?id=OVFT.pXxoXpFfFWIt8kad2wLhrS&pid=News,The Hockey News on MSN.com,15 July 2024,positive
Fox News anchors on 'suspense' surrounding Republican convention,"Uncertainty about Biden's future in the race could play out at the RNC, and the VP announcement will be another element of suspense.",Politics,https://www.msn.com/en-us/news/politics/fox-news-anchors-on-suspense-surrounding-republican-convention/ar-BB1pVlAH,https://www.bing.com/th?id=OVFT.KwwwpXoDa6Y-dMmiyKteGi&pid=News,USA Today on MSN.com,13 July 2024,negative
From granite peaks to howling wolves: Fox Nation's 'Park'd' takes exciting excursions in brand new season,"Fox Nation's ""Park'd,"" hosted by Abby Hornacek, will take viewers on a series of exciting new excursions for its seventh season slated to debut on July 15.",LifeStyle,https://www.msn.com/en-us/travel/other/from-granite-peaks-to-howling-wolves-fox-nation-s-park-d-takes-exciting-excursions-in-brand-new-season/ar-BB1q07RG,https://www.bing.com/th?id=OVFT.6SrryZKCMF_2v7VTFjMj-i&pid=News,Fox News on MSN.com,15 July 2024,neutral
From Podiums to the Present: A detailed look at the lives and careers of India's Olympic medal winners,With Paris Games 2024 around the corner let's know what India's Olympic medal winners are doing now. Notably Paris Olympics is set to start from July 26.,Sports,https://www.msn.com/en-in/sports/other/from-podiums-to-the-present-a-detailed-look-at-the-lives-and-careers-of-indias-olympic-medal-winners/ar-BB1pZKki,https://www.bing.com/th?id=OVFT.KYB05c-KuVeXvziNx_Vdii&pid=News,Sports Tak (English) on MSN.com,15 July 2024,neutral
Gauteng doubles down on new state-owned bank,The Gauteng Provincial Government is looking to go full steam ahead to establish a state-owned provincial bank in partnership with the private sector.,Business,https://businesstech.co.za/news/government/782495/gauteng-doubles-down-on-new-state-owned-bank/,https://www.bing.com/th?id=OVFT.NxHI_CT2W25ObRxT-7hjyy&pid=News,businesstech.co.za,15 July 2024,neutral
Government Wants BCCI to Stop Showing Tobacco Ads at Cricket Stadiums: Report,"If the Union health ministry has its way, the ubiquitous surrogate advertisements designed to promote tobacco products will soon become history at cricket stadiums in India. According to a report, the ministry is set to ask the BCCI to stop showing such ads at venues during cricket matches.",Sports,https://www.msn.com/en-in/news/other/government-wants-bcci-to-stop-showing-tobacco-ads-at-cricket-stadiums-report/ar-BB1q0jCM,https://www.bing.com/th?id=OVFT.yiA4mQLC1Xpe-PLAN1Uxci&pid=News,News18 on MSN.com,15 July 2024,neutral
Haryana Diary: Major political role for CM’s wife,"Though she was not visible in political circles before her husband replaced Manohar Lal Khattar as the Chief Minister, she campaigned for her husband in the Karnal Assembly constituency during the recent Assembly byelection. However, the BJP seems to have ...",Politics,https://www.tribuneindia.com/news/haryana/haryana-diary-major-political-role-for-cms-wife-639901,https://www.bing.com/th?id=OVFT.MxkE0gnD3ectv0_XgDZeiC&pid=News,The Tribune,15 July 2024,neutral
